condition,compound_key,source_ids,review_reasons,candidate_count,hidden_positive_count,marginal_first_hit,bounded_first_hit,unbounded_first_hit,bounded_delay_vs_marginal,unbounded_delay_vs_marginal,bounded_audc_difference,unbounded_audc_difference,marginal_first_target_key,marginal_first_target_id,marginal_first_target_name,bounded_first_target_key,bounded_first_target_id,bounded_first_target_name,unbounded_first_target_key,unbounded_first_target_id,unbounded_first_target_name
pkis1_gt90_scaffold,V0108,CHEMBL467581,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,CENSORED,CENSORED,CENSORED
pkis1_gt90_scaffold,V0110,CHEMBL1789961,large_bounded_gain,200,1,21,13,14,-8,-7,0.4,0.35,CENSORED,CENSORED,CENSORED,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A
pkis1_gt90_scaffold,V0151,CHEMBL1956068,unbounded_delay_ge_10;large_bounded_loss,200,5,2,11,14,9,12,-0.44999999999999996,-0.6,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha
pkis1_gt90_scaffold,V0171,CHEMBL176857,large_bounded_gain,200,2,20,14,16,-6,-4,0.3,0.2,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A
pkis1_gt90_scaffold,V0202,CHEMBL218088,large_bounded_gain,200,1,15,7,7,-8,-8,0.39999999999999997,0.39999999999999997,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_scaffold,V0254,CHEMBL1909342,large_bounded_gain,200,1,13,5,5,-8,-8,0.4,0.4,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_scaffold,V0332,CHEMBL1794050,large_bounded_gain,199,2,15,9,9,-6,-6,0.3,0.3,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_standard,V0058,CHEMBL220465,unbounded_delay_ge_10;large_bounded_loss,200,1,4,13,21,9,17,-0.44999999999999996,-0.85,P0132,CHEMBL4501,Ribosomal protein S6 kinase 1,P0132,CHEMBL4501,Ribosomal protein S6 kinase 1,CENSORED,CENSORED,CENSORED
pkis1_gt90_standard,V0068,CHEMBL1909362,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,P0096,CHEMBL3935,Serine/threonine-protein kinase Aurora-C,CENSORED,CENSORED,CENSORED
pkis1_gt90_standard,V0096,CHEMBL1909371,unbounded_delay_ge_10;large_bounded_loss,200,1,2,10,21,8,19,-0.3999999999999999,-0.95,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,CENSORED,CENSORED,CENSORED
pkis1_gt90_standard,V0106,CHEMBL66004,large_bounded_gain,200,1,19,10,7,-9,-12,0.45000000000000007,0.6,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_standard,V0108,CHEMBL467581,unbounded_delay_ge_10;large_bounded_loss,200,1,3,12,21,9,18,-0.45,-0.9,P0015,CHEMBL1981,Insulin receptor,P0015,CHEMBL1981,Insulin receptor,CENSORED,CENSORED,CENSORED
pkis1_gt90_standard,V0110,CHEMBL1789961,large_bounded_gain,200,1,21,14,14,-7,-7,0.35,0.35,CENSORED,CENSORED,CENSORED,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A
pkis1_gt90_standard,V0151,CHEMBL1956068,unbounded_delay_ge_10;large_bounded_loss,200,5,2,11,14,9,12,-0.44999999999999996,-0.6,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha,P0017,CHEMBL2007,Platelet-derived growth factor receptor alpha
pkis1_gt90_standard,V0171,CHEMBL176857,large_bounded_gain,200,2,20,14,16,-6,-4,0.3,0.2,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A,P0147,CHEMBL4722,Serine/threonine-protein kinase Aurora-A
pkis1_gt90_standard,V0254,CHEMBL1909342,large_bounded_gain,200,1,13,5,5,-8,-8,0.4,0.4,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
pkis1_gt90_standard,V0332,CHEMBL1794050,large_bounded_gain,199,2,15,9,9,-6,-6,0.3,0.3,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,P0081,CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit
