condition,comparison_name,dataset,comparison,metric,n,estimate,ci95,permutation_p_two_sided,holm_p_across_8_conditions
pkis2_gt90_chemotype,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_10,640,0.04375,"[0.021875, 0.0671875]",0.0002899971000289997,0.0023199768002319975
pkis2_gt90_chemotype,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_20,640,0.0203125,"[0.009375, 0.0328125]",0.0010399896001039989,0.008319916800831991
pkis2_gt90_chemotype,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,audc_1_20,640,-0.010390624999999997,"[-0.025546875000000004, 0.004765625000000001]",0.18486815131848683,0.7394726052739473
pkis2_gt90_chemotype,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
pkis2_gt90_chemotype,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_3,640,0.003125,"[-0.0125, 0.01875]",0.8385916140838592,1.0
pkis2_gt90_chemotype,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_5,640,-0.0234375,"[-0.0453125, -0.003125]",0.04016959830401696,0.2811871881281187
pkis2_gt90_chemotype,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_10,640,-0.0140625,"[-0.0375, 0.009375]",0.2881071189288107,1.0
pkis2_gt90_chemotype,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_20,640,-0.0140625,"[-0.0390625, 0.0109375]",0.32071679283207166,1.0
pkis2_gt90_scaffold,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,audc_1_20,640,0.012656249999999997,"[0.004216796874999997, 0.021249999999999998]",0.003169968300316997,0.01901980980190198
pkis2_gt90_scaffold,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
pkis2_gt90_scaffold,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_3,640,0.0453125,"[0.021875, 0.0703125]",0.0002899971000289997,0.0017399826001739981
pkis2_gt90_scaffold,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_5,640,0.0140625,"[-0.00625, 0.034375]",0.23367766322336778,0.8926410735892641
pkis2_gt90_scaffold,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_10,640,-0.0046875,"[-0.0203125, 0.0109375]",0.7016429835701643,1.0
pkis2_gt90_scaffold,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_20,640,0.015625,"[0.00625, 0.0265625]",0.001839981600183998,0.012879871201287987
pkis2_gt90_scaffold,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,audc_1_20,640,0.01515625,"[0.0005468749999999988, 0.03]",0.04518954810451895,0.2711372886271137
pkis2_gt90_scaffold,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
